no,provinsi,kabupaten/kota,tahun,total_gangguan_jiwa,jumlah_penduduk,jiwa_TPT
75,JAWA BARAT,KOTA BANDUNG,2016,19311,2397396,0
76,JAWA BARAT,KOTA CIREBON,2016,14512,324794,0
77,JAWA BARAT,KOTA BEKASI,2016,31802,2402465,0
78,JAWA BARAT,KOTA DEPOK,2016,12172,1803708,0
79,JAWA BARAT,KOTA CIMAHI,2016,18532,531393,0
80,JAWA BARAT,KOTA TASIKMALAYA,2016,0,690495,0
81,JAWA BARAT,KOTA BANJAR,2016,1028,202431,0
82,JAWA BARAT,KABUPATEN BOGOR,2017,11036,4357897,416179
83,JAWA BARAT,KABUPATEN SUKABUMI,2017,19924,2536611,194304
84,JAWA BARAT,KABUPATEN CIANJUR,2017,8888,2250490,227299
85,JAWA BARAT,KABUPATEN BANDUNG,2017,34471,3525149,138186
86,JAWA BARAT,KABUPATEN GARUT,2017,45255,2221810,174634
87,JAWA BARAT,KABUPATEN TASIKMALAYA,2017,14558,1733222,114566
88,JAWA BARAT,KABUPATEN CIAMIS,2017,6125,1229878,63585
89,JAWA BARAT,KABUPATEN KUNINGAN,2017,9063,1137476,90316
90,JAWA BARAT,KABUPATEN CIREBON,2017,46602,2100299,201839
91,JAWA BARAT,KABUPATEN MAJALENGKA,2017,66755,1269210,63714
92,JAWA BARAT,KABUPATEN SUMEDANG,2017,56727,1139564,81479
93,JAWA BARAT,KABUPATEN INDRAMAYU,2017,37442,1850695,159900
94,JAWA BARAT,KABUPATEN SUBANG,2017,52116,1555039,135910
95,JAWA BARAT,KABUPATEN PURWAKARTA,2017,52267,918365,83663
96,JAWA BARAT,KABUPATEN KARAWANG,2017,35567,2131586,203566
97,JAWA BARAT,KABUPATEN BEKASI,2017,125203,2611467,286478
98,JAWA BARAT,KABUPATEN BANDUNG BARAT,2017,97455,1638560,152878
99,JAWA BARAT,KABUPATEN PANGANDARAN,2017,347,409016,13661
100,JAWA BARAT,KOTA BOGOR,2017,4487,1010584,96713
101,JAWA BARAT,KOTA SUKABUMI,2017,5705,335866,26869
102,JAWA BARAT,KOTA BANDUNG,2017,9448,2412458,203611
103,JAWA BARAT,KOTA CIREBON,2017,12621,328239,30493
104,JAWA BARAT,KOTA BEKASI,2017,34278,2415091,225086
105,JAWA BARAT,KOTA DEPOK,2017,43810,1811924,126835
106,JAWA BARAT,KOTA CIMAHI,2017,34593,535685,45158
107,JAWA BARAT,KOTA TASIKMALAYA,2017,32347,694610,47859
108,JAWA BARAT,KOTA BANJAR,2017,13106,201348,12020
109,JAWA BARAT,KABUPATEN BOGOR,2018,14269,4585812,450785
110,JAWA BARAT,KABUPATEN SUKABUMI,2018,11454,2552096,200084
111,JAWA BARAT,KABUPATEN CIANJUR,2018,0,2263201,231525
112,JAWA BARAT,KABUPATEN BANDUNG,2018,16919,3535992,179275
113,JAWA BARAT,KABUPATEN GARUT,2018,5160,2235470,159165
114,JAWA BARAT,KABUPATEN TASIKMALAYA,2018,3330,1762622,121973
115,JAWA BARAT,KABUPATEN CIAMIS,2018,2414,1240285,57549
116,JAWA BARAT,KABUPATEN KUNINGAN,2018,9699,1147516,104424
117,JAWA BARAT,KABUPATEN CIREBON,2018,234896,2162576,230098
118,JAWA BARAT,KABUPATEN MAJALENGKA,2018,39510,1278753,63938
119,JAWA BARAT,KABUPATEN SUMEDANG,2018,10860,1148198,86574
120,JAWA BARAT,KABUPATEN INDRAMAYU,2018,0,1855458,156972
121,JAWA BARAT,KABUPATEN SUBANG,2018,9530,1563106,136147
122,JAWA BARAT,KABUPATEN PURWAKARTA,2018,4301,936214,93060
123,JAWA BARAT,KABUPATEN KARAWANG,2018,35687,2271960,207203
124,JAWA BARAT,KABUPATEN BEKASI,2018,15923,2640570,257192
125,JAWA BARAT,KABUPATEN BANDUNG BARAT,2018,3282,1649811,141059
126,JAWA BARAT,KABUPATEN PANGANDARAN,2018,477,420512,15096
127,JAWA BARAT,KOTA BOGOR,2018,23384,1029084,100233
128,JAWA BARAT,KOTA SUKABUMI,2018,378,344797,29549
129,JAWA BARAT,KOTA BANDUNG,2018,21775,2452179,197400
130,JAWA BARAT,KOTA CIREBON,2018,30182,337586,30619
131,JAWA BARAT,KOTA BEKASI,2018,35308,2436577,222703
132,JAWA BARAT,KOTA DEPOK,2018,27330,1844932,122872
133,JAWA BARAT,KOTA CIMAHI,2018,22004,548373,43870
134,JAWA BARAT,KOTA TASIKMALAYA,2018,19527,713545,49163
135,JAWA BARAT,KOTA BANJAR,2018,7709,204100,12144
136,JAWA BARAT,KABUPATEN BOGOR,2019,24134,4715924,429621
137,JAWA BARAT,KABUPATEN SUKABUMI,2019,0,2571890,207037
138,JAWA BARAT,KABUPATEN CIANJUR,2019,0,2292366,224881
139,JAWA BARAT,KABUPATEN BANDUNG,2019,20883,3561679,196249
140,JAWA BARAT,KABUPATEN GARUT,2019,0,2284418,167905
141,JAWA BARAT,KABUPATEN TASIKMALAYA,2019,4384,1796496,113359
142,JAWA BARAT,KABUPATEN CIAMIS,2019,0,1253483,64680
143,JAWA BARAT,KABUPATEN KUNINGAN,2019,16394,1170942,113347
144,JAWA BARAT,KABUPATEN CIREBON,2019,21963,2189785,226643
145,JAWA BARAT,KABUPATEN MAJALENGKA,2019,7914,1307995,57159
146,JAWA BARAT,KABUPATEN SUMEDANG,2019,0,1154458,88893
147,JAWA BARAT,KABUPATEN INDRAMAYU,2019,8841,1861269,155416
148,JAWA BARAT,KABUPATEN SUBANG,2019,6196,1573706,136598
149,JAWA BARAT,KABUPATEN PURWAKARTA,2019,1981,950066,92441
150,JAWA BARAT,KABUPATEN KARAWANG,2019,41381,2323738,224938
151,JAWA BARAT,KABUPATEN BEKASI,2019,8681,2674861,240737
152,JAWA BARAT,KABUPATEN BANDUNG BARAT,2019,0,1667724,137420
153,JAWA BARAT,KABUPATEN PANGANDARAN,2019,442,424786,19200
154,JAWA BARAT,KOTA BOGOR,2019,17525,1048405,96034
155,JAWA BARAT,KOTA SUKABUMI,2019,3105,348945,29625
156,JAWA BARAT,KOTA BANDUNG,2019,33945,2480464,202902
157,JAWA BARAT,KOTA CIREBON,2019,457,340370,30769
158,JAWA BARAT,KOTA BEKASI,2019,55495,2448830,203253
159,JAWA BARAT,KOTA DEPOK,2019,16458,1857734,113693
160,JAWA BARAT,KOTA CIMAHI,2019,18414,553755,44799
161,JAWA BARAT,KOTA TASIKMALAYA,2019,16610,719882,48808
162,JAWA BARAT,KOTA BANJAR,2019,100,205626,12667
163,JAWA BARAT,KABUPATEN BOGOR,2020,27498,5132355,733414
164,JAWA BARAT,KABUPATEN SUKABUMI,2020,14663,2626762,252169
165,JAWA BARAT,KABUPATEN CIANJUR,2020,46367,2368613,261732
166,JAWA BARAT,KABUPATEN BANDUNG,2020,16523,3583056,307426
167,JAWA BARAT,KABUPATEN GARUT,2020,5841,2514515,225049
168,JAWA BARAT,KABUPATEN TASIKMALAYA,2020,9262,1803800,128431
169,JAWA BARAT,KABUPATEN CIAMIS,2020,0,1259984,71315
170,JAWA BARAT,KABUPATEN KUNINGAN,2020,9429,1183740,132816
171,JAWA BARAT,KABUPATEN CIREBON,2020,145231,2296999,264614
172,JAWA BARAT,KABUPATEN MAJALENGKA,2020,12205,1315272,76812
173,JAWA BARAT,KABUPATEN SUMEDANG,2020,4882,1159454,114670
174,JAWA BARAT,KABUPATEN INDRAMAYU,2020,0,1871149,172333
175,JAWA BARAT,KABUPATEN SUBANG,2020,11364,1583935,150157
176,JAWA BARAT,KABUPATEN PURWAKARTA,2020,0,974304,107855
177,JAWA BARAT,KABUPATEN KARAWANG,2020,41872,2361019,271989
178,JAWA BARAT,KABUPATEN BEKASI,2020,16855,2880280,332384
179,JAWA BARAT,KABUPATEN BANDUNG BARAT,2020,850,1712348,209763
180,JAWA BARAT,KABUPATEN PANGANDARAN,2020,700,428242,21755
181,JAWA BARAT,KOTA BOGOR,2020,122534,1064698,135004
182,JAWA BARAT,KOTA SUKABUMI,2020,32315,351459,42773
183,JAWA BARAT,KOTA BANDUNG,2020,43580,2500967,279858
184,JAWA BARAT,KOTA CIREBON,2020,32867,343003,37627
185,JAWA BARAT,KOTA BEKASI,2020,34128,2464719,263232
186,JAWA BARAT,KOTA DEPOK,2020,16273,1872996,184865
187,JAWA BARAT,KOTA CIMAHI,2020,21177,557911,74202
188,JAWA BARAT,KOTA TASIKMALAYA,2020,6370,725561,57972
